,hour,avgentriesperhr,hoursorted
0,0.0,360271.3333333333,17
1,1.0,165622.0,14
2,2.0,14271.066666666668,4
3,3.0,2711.5666666666666,0
4,4.0,81282.23333333334,13
5,5.0,39325.73333333333,9
6,6.0,6093.133333333333,1
7,7.0,12789.6,3
8,8.0,183157.46666666667,15
9,9.0,368031.7,18
10,10.0,43849.566666666666,11
11,11.0,21542.766666666666,6
12,12.0,760445.6666666666,22
13,13.0,313683.06666666665,16
14,14.0,38823.8,8
15,15.0,14910.4,5
16,16.0,577898.0666666667,21
17,17.0,423099.8,19
18,18.0,56291.566666666666,12
19,19.0,27827.733333333334,7
20,20.0,816849.8666666667,23
21,21.0,437366.6666666667,20
22,22.0,40077.0,10
23,23.0,11522.433333333332,2
